Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
320,A208,Existing,No response,,1,,Invalid,Not Sure,Not Sure
321,A209,Existing,Wrong POC,,1,,Reception,Not Sure,No
1321,A210,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,No
,A210,New,Follow-up,VM/Email,1,,Reception,Not Sure,Not Sure
318,A211,Existing,,,,,,,
322,A211,Existing,,,,,,,
,A211,New,No response,VM/Email,2,,Direct Line,Not Sure,Not Sure
334,A212,Existing,Follow-up,VM/Email,2,,Reception,Not Important,Not Sure
,A212,Existing,Follow-up,VM/Email,,,Reception,Important,Not Sure
324,A213,Existing,Follow-up,VM/Email,2,,Reception,Not Sure,Not Sure
325,A214,Existing,Not Interested,,2,,Reception,Not Sure,Not Sure
1224,A215,Existing,No response,,1,,Invalid,Not Sure,Not Sure
323,A216,Existing,,,,,,,
335,A216,Existing,,,,,,,
336,A216,Existing,,,,,,,
337,A216,Existing,Wrong POC,,1,,Invalid,Not Important,Not Sure
338,A217,Existing,,,,, ,,Not Sure
339,A217,Existing,,,,, ,,Not Sure
340,A217,Existing,,,,, ,,Not Sure
341,A217,Existing,,,,, ,,Not Sure
342,A217,Existing,,,,,,,Not Sure
343,A217,Existing,,,,, ,,Not Sure
344,A218,Existing,,,,, ,,Not Sure
345,A218,Existing,,,,, ,,Not Sure
347,A219,Existing,,,,, ,,Not Sure
346,A220,Existing,,,,, ,,Not Sure
348,A220,Existing,,,,, ,,Not Sure
349,A220,Existing,,,,, ,,Not Sure
350,A221,Existing,,,,, ,,Not Sure
326,A222,Existing,,,,, ,,Not Sure
327,A222,Existing,,,,, ,,Not Sure
328,A222,Existing,,,,, ,,Not Sure
330,A223,Existing,,,,, ,,Not Sure
329,A224,Existing,,,,, ,,Not Sure
332,A224,Existing,,,,, ,,Not Sure
331,A225,Existing,,,,, ,,Not Sure
333,A226,Existing,,,,, ,,Not Sure
351,A227,Existing,,,,, ,,Not Sure
352,A228,Existing,,,,, ,,Not Sure
353,A228,Existing,,,,, ,,Not Sure
354,A228,Existing,,,,, ,,Not Sure
355,A228,Existing,,,,, ,,Not Sure
14,A229,Existing,Not Interested,,2,,Direct Line,Important,Not Sure
356,A230,Existing,,,,, ,,Not Sure
357,A230,Existing,,,,, ,,Not Sure
358,A230,Existing,,,,, ,,Not Sure
360,A230,Existing,,,,, ,,Not Sure
359,A231,Existing,,,,, ,,Not Sure
362,A232,Existing,,,,, ,,Not Sure
363,A233,Existing,,,,, ,,Not Sure
361,A234,Existing,,,,, ,,Not Sure
364,A235,Existing,,,,, ,,Not Sure
368,A235,Existing,,,,, ,,Not Sure
369,A235,Existing,,,,, ,,Not Sure
1235,A236,Existing,,,,, ,,Not Sure
365,A237,Existing,,,,, ,,Not Sure
1364,A238,Existing,,,,, ,,Not Sure
1356,A239,Existing,,,,, ,,Not Sure
1368,A240,Existing,,,,, ,,Not Sure
1300,A241,Existing,,,,, ,,Not Sure
366,A242,Existing,,,,, ,,Not Sure
367,A242,Existing,,,,, ,,Not Sure
370,A243,Existing,,,,, ,,Not Sure
371,A243,Existing,,,,, ,,Not Sure
373,A243,Existing,,,,, ,,Not Sure
1344,A244,Existing,,,,, ,,Not Sure
372,A245,Existing,,,,, ,,Not Sure
374,A246,Existing,,,,, ,,Not Sure
375,A246,Existing,,,,, ,,Not Sure
395,A247,Existing,,,,, ,,Not Sure
377,A248,Existing,,,,, ,,Not Sure
396,A248,Existing,,,,, ,,Not Sure
397,A248,Existing,,,,, ,,Not Sure
399,A248,Existing,,,,, ,,Not Sure
376,A249,Existing,,,,, ,,Not Sure
398,A249,Existing,,,,, ,,Not Sure
400,A249,Existing,,,,, ,,Not Sure
378,A250,Existing,,,,, ,,Not Sure
379,A250,Existing,,,,, ,,Not Sure
380,A251,Existing,,,,, ,,Not Sure
381,A252,Existing,,,,, ,,Not Sure
382,A252,Existing,,,,, ,,Not Sure
383,A253,Existing,,,,, ,,Not Sure
384,A254,Existing,,,,, ,,Not Sure
385,A255,Existing,,,,, ,,Not Sure
387,A255,Existing,,,,, ,,Not Sure
386,A256,Existing,,,,, ,,Not Sure
388,A256,Existing,,,,, ,,Not Sure
390,A257,Existing,,,,, ,,Not Sure
389,A258,Existing,,,,, ,,Not Sure
1273,A259,Existing,,,,, ,,Not Sure
1278,A259,Existing,,,,, ,,Not Sure
391,A260,Existing,,,,, ,,Not Sure
392,A260,Existing,,,,, ,,Not Sure
393,A260,Existing,,,,, ,,Not Sure
394,A261,Existing,,,,, ,,Not Sure
404,A261,Existing,,,,, ,,Not Sure
405,A261,Existing,,,,, ,,Not Sure
406,A262,Existing,,,,, ,,Not Sure
407,A262,Existing,,,,, ,,Not Sure
409,A262,Existing,,,,, ,,Not Sure
408,A263,Existing,,,,, ,,Not Sure
1277,A264,Existing,,,,, ,,Not Sure
416,A265,Existing,,,,, ,,Not Sure
411,A266,Existing,,,,, ,,Not Sure
1223,A267,Existing,,,,, ,,Not Sure
412,A268,Existing,,,,, ,,Not Sure
410,A269,Existing,,,,, ,,Not Sure
414,A269,Existing,,,,, ,,Not Sure
413,A270,Existing,,,,, ,,Not Sure
415,A270,Existing,,,,, ,,Not Sure
417,A271,Existing,,,,, ,,Not Sure
418,A271,Existing,,,,, ,,Not Sure
1359,A272,Existing,,,,, ,,Not Sure
1372,A273,Existing,,,,, ,,Not Sure
1313,A274,Existing,,,,, ,,Not Sure
419,A275,Existing,,,,, ,,Not Sure
420,A276,Existing,,,,, ,,Not Sure
421,A277,Existing,,,,, ,,Not Sure
422,A278,Existing,,,,, ,,Not Sure
423,A279,Existing,,,,, ,,Not Sure
424,A279,Existing,,,,, ,,Not Sure
1275,A280,Existing,,,,, ,,Not Sure
1288,A280,Existing,,,,, ,,Not Sure
425,A281,Existing,,,,, ,,Not Sure
403,A282,Existing,,,,, ,,Not Sure
401,A283,Existing,,,,, ,,Not Sure
402,A284,Existing,,,,, ,,Not Sure
426,A285,Existing,,,,, ,,Not Sure
427,A286,Existing,,,,, ,,Not Sure
428,A287,Existing,,,,, ,,Not Sure
429,A287,Existing,,,,, ,,Not Sure
430,A288,Existing,,,,, ,,Not Sure
434,A289,Existing,,,,, ,,Not Sure
431,A290,Existing,,,,, ,,Not Sure
432,A291,Existing,,,,, ,,Not Sure
436,A292,Existing,,,,, ,,Not Sure
433,A293,Existing,,,,, ,,Not Sure
435,A293,Existing,,,,, ,,Not Sure
437,A294,Existing,,,,, ,,Not Sure
438,A295,Existing,,,,, ,,Not Sure
439,A295,Existing,,,,, ,,Not Sure
440,A296,Existing,,,,, ,,Not Sure
441,A297,Existing,,,,, ,,Not Sure
1305,A298,Existing,,,,, ,,Not Sure
442,A299,Existing,,,,, ,,Not Sure
443,A300,Existing,,,,, ,,Not Sure
444,A300,Existing,,,,, ,,Not Sure
445,A300,Existing,,,,, ,,Not Sure
446,A301,Existing,,,,, ,,Not Sure
447,A301,Existing,,,,, ,,Not Sure
449,A302,Existing,,,,, ,,Not Sure
448,A303,Existing,,,,, ,,Not Sure
1284,A304,Existing,,,,, ,,Not Sure
1322,A304,Existing,,,,, ,,Not Sure
450,A305,Existing,,,,, ,,Not Sure
465,A305,Existing,,,,, ,,Not Sure
464,A306,Existing,,,,, ,,Not Sure
466,A306,Existing,,,,, ,,Not Sure
467,A307,Existing,,,,, ,,Not Sure
469,A307,Existing,,,,, ,,Not Sure
468,A308,Existing,,,,, ,,Not Sure
470,A308,Existing,,,,, ,,Not Sure
471,A308,Existing,,,,, ,,Not Sure
472,A309,Existing,,,,, ,,Not Sure
452,A310,Existing,,,,, ,,Not Sure
473,A310,Existing,,,,, ,,Not Sure
451,A311,Existing,,,,, ,,Not Sure
474,A311,Existing,,,,, ,,Not Sure
475,A312,Existing,,,,, ,,Not Sure
453,A313,Existing,,,,, ,,Not Sure
454,A314,Existing,,,,, ,,Not Sure
455,A314,Existing,,,,, ,,Not Sure
456,A314,Existing,,,,, ,,Not Sure
457,A314,Existing,,,,, ,,Not Sure
458,A315,Existing,,,,, ,,Not Sure
459,A315,Existing,,,,, ,,Not Sure
460,A316,Existing,,,,, ,,Not Sure
461,A316,Existing,,,,, ,,Not Sure
462,A316,Existing,,,,, ,,Not Sure
463,A316,Existing,,,,, ,,Not Sure
1244,A317,Existing,,,,, ,,Not Sure
477,A318,Existing,,,,, ,,Not Sure
478,A318,Existing,,,,, ,,Not Sure
476,A319,Existing,,,,, ,,Not Sure
479,A319,Existing,,,,, ,,Not Sure
1349,A320,Existing,,,,, ,,Not Sure
1348,A321,Existing,,,,, ,,Not Sure
480,A322,Existing,,,,, ,,Not Sure
481,A323,Existing,,,,, ,,Not Sure
483,A324,Existing,,,,, ,,Not Sure
482,A325,Existing,,,,, ,,Not Sure
484,A326,Existing,,,,, ,,Not Sure
485,A327,Existing,,,,, ,,Not Sure
486,A327,Existing,,,,, ,,Not Sure
487,A327,Existing,,,,, ,,Not Sure
488,A327,Existing,,,,, ,,Not Sure
489,A327,Existing,,,,, ,,Not Sure
490,A327,Existing,,,,, ,,Not Sure
491,A327,Existing,,,,, ,,Not Sure
492,A327,Existing,,,,, ,,Not Sure
493,A327,Existing,,,,, ,,Not Sure
494,A327,Existing,,,,, ,,Not Sure
496,A328,Existing,,,,, ,,Not Sure
13,A329,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
495,A329,Existing,,,,, ,,Not Sure
497,A330,Existing,,,,, ,,Not Sure
498,A331,Existing,,,,, ,,Not Sure
499,A331,Existing,,,,, ,,Not Sure
500,A332,Existing,,,,, ,,Not Sure
501,A332,Existing,,,,, ,,Not Sure
520,A332,Existing,,,,, ,,Not Sure
521,A332,Existing,,,,, ,,Not Sure
522,A332,Existing,,,,, ,,Not Sure
523,A332,Existing,,,,, ,,Not Sure
524,A333,Existing,,,,, ,,Not Sure
502,A334,Existing,,,,, ,,Not Sure
525,A335,Existing,,,,, ,,Not Sure
503,A336,Existing,,,,, ,,Not Sure
504,A336,Existing,,,,, ,,Not Sure
505,A337,Existing,,,,, ,,Not Sure
507,A337,Existing,,,,, ,,Not Sure
506,A338,Existing,,,,, ,,Not Sure
1358,A339,Existing,,,,, ,,Not Sure
508,A340,Existing,,,,, ,,Not Sure
509,A340,Existing,,,,, ,,Not Sure
511,A340,Existing,,,,, ,,Not Sure
512,A340,Existing,,,,, ,,Not Sure
510,A341,Existing,,,,, ,,Not Sure
513,A342,Existing,,,,, ,,Not Sure
514,A342,Existing,,,,, ,,Not Sure
515,A342,Existing,Lead,,2,Cold,Direct Line,Not Important,Not Sure
,,,,,,,,,
516,,Existing,,,,, ,,Not Sure
518,,Existing,,,,, ,,Not Sure
517,,Existing,,,,, ,,Not Sure
519,,Existing,,,,, ,,Not Sure
538,,Existing,,,,, ,,Not Sure
533,,Existing,,,,, ,,Not Sure
534,,Existing,,,,, ,,Not Sure
537,,Existing,,,,, ,,Not Sure
535,,Existing,,,,, ,,Not Sure
536,,Existing,,,,, ,,Not Sure
539,,Existing,,,,, ,,Not Sure
540,,Existing,,,,, ,,Not Sure
1266,,Existing,,,,, ,,Not Sure
541,,Existing,,,,, ,,Not Sure
542,,Existing,,,,, ,,Not Sure
543,,Existing,,,,, ,,Not Sure
544,,Existing,,,,, ,,Not Sure
545,,Existing,,,,, ,,Not Sure
546,,Existing,,,,, ,,Not Sure
548,,Existing,,,,, ,,Not Sure
547,,Existing,,,,, ,,Not Sure
1339,,Existing,,,,, ,,Not Sure
549,,Existing,,,,, ,,Not Sure
550,,Existing,,,,, ,,Not Sure
1239,,Existing,,,,, ,,Not Sure
527,,Existing,,,,, ,,Not Sure
526,,Existing,,,,, ,,Not Sure
528,,Existing,,,,, ,,Not Sure
529,,Existing,,,,, ,,Not Sure
530,,Existing,,,,, ,,Not Sure
531,,Existing,,,,, ,,Not Sure
532,,Existing,,,,, ,,Not Sure
551,,Existing,,,,, ,,Not Sure
552,,Existing,,,,, ,,Not Sure
554,,Existing,,,,, ,,Not Sure
553,,Existing,,,,, ,,Not Sure
555,,Existing,,,,, ,,Not Sure
556,,Existing,,,,, ,,Not Sure
557,,Existing,,,,, ,,Not Sure
558,,Existing,,,,, ,,Not Sure
559,,Existing,,,,, ,,Not Sure
560,,Existing,,,,, ,,Not Sure
562,,Existing,,,,, ,,Not Sure
563,,Existing,,,,, ,,Not Sure
564,,Existing,,,,, ,,Not Sure
561,,Existing,,,,, ,,Not Sure
565,,Existing,,,,, ,,Not Sure
566,,Existing,,,,, ,,Not Sure
567,,Existing,,,,, ,,Not Sure
568,,Existing,,,,, ,,Not Sure
569,,Existing,,,,, ,,Not Sure
570,,Existing,,,,, ,,Not Sure
571,,Existing,,,,, ,,Not Sure
572,,Existing,,,,, ,,Not Sure
573,,Existing,,,,, ,,Not Sure
1237,,Existing,,,,, ,,Not Sure
1361,,Existing,,,,, ,,Not Sure
574,,Existing,,,,, ,,Not Sure
575,,Existing,,,,, ,,Not Sure
593,,Existing,,,,, ,,Not Sure
594,,Existing,,,,, ,,Not Sure
595,,Existing,,,,, ,,Not Sure
576,,Existing,,,,, ,,Not Sure
596,,Existing,,,,, ,,Not Sure
597,,Existing,,,,, ,,Not Sure
598,,Existing,,,,, ,,Not Sure
599,,Existing,,,,, ,,Not Sure
600,,Existing,,,,, ,,Not Sure
577,,Existing,,,,, ,,Not Sure
1221,,Existing,,,,, ,,Not Sure
1326,,Existing,,,,, ,,Not Sure
579,,Existing,,,,, ,,Not Sure
578,,Existing,,,,, ,,Not Sure
580,,Existing,,,,, ,,Not Sure
582,,Existing,,,,, ,,Not Sure
581,,Existing,,,,, ,,Not Sure
583,,Existing,,,,, ,,Not Sure
584,,Existing,,,,, ,,Not Sure
1245,,Existing,,,,, ,,Not Sure
585,,Existing,,,,, ,,Not Sure
587,,Existing,,,,, ,,Not Sure
586,,Existing,,,,, ,,Not Sure
588,,Existing,,,,, ,,Not Sure
589,,Existing,,,,, ,,Not Sure
590,,Existing,,,,, ,,Not Sure
1365,,Existing,,,,, ,,Not Sure
591,,Existing,,,,, ,,Not Sure
592,,Existing,,,,, ,,Not Sure
601,,Existing,,,,, ,,Not Sure
603,,Existing,,,,, ,,Not Sure
606,,Existing,,,,, ,,Not Sure
602,,Existing,,,,, ,,Not Sure
605,,Existing,,,,, ,,Not Sure
607,,Existing,,,,, ,,Not Sure
604,,Existing,,,,, ,,Not Sure
608,,Existing,,,,, ,,Not Sure
609,,Existing,,,,, ,,Not Sure
610,,Existing,,,,, ,,Not Sure
611,,Existing,,,,, ,,Not Sure
612,,Existing,,,,, ,,Not Sure
613,,Existing,,,,, ,,Not Sure
615,,Existing,,,,, ,,Not Sure
614,,Existing,,,,, ,,Not Sure
616,,Existing,,,,, ,,Not Sure
617,,Existing,,,,, ,,Not Sure
618,,Existing,,,,, ,,Not Sure
619,,Existing,,,,, ,,Not Sure
1369,,Existing,,,,, ,,Not Sure
620,,Existing,,,,, ,,Not Sure
621,,Existing,,,,, ,,Not Sure
622,,Existing,,,,, ,,Not Sure
623,,Existing,,,,, ,,Not Sure
624,,Existing,,,,, ,,Not Sure
625,,Existing,,,,, ,,Not Sure
648,,Existing,,,,, ,,Not Sure
646,,Existing,,,,, ,,Not Sure
647,,Existing,,,,, ,,Not Sure
649,,Existing,,,,, ,,Not Sure
650,,Existing,,,,, ,,Not Sure
626,,Existing,,,,, ,,Not Sure
1254,,Existing,,,,, ,,Not Sure
1315,,Existing,,,,, ,,Not Sure
627,,Existing,,,,, ,,Not Sure
628,,Existing,,,,, ,,Not Sure
630,,Existing,,,,, ,,Not Sure
629,,Existing,,,,, ,,Not Sure
631,,Existing,,,,, ,,Not Sure
632,,Existing,,,,, ,,Not Sure
1264,,Existing,,,,, ,,Not Sure
1274,,Existing,,,,, ,,Not Sure
1304,,Existing,,,,, ,,Not Sure
1353,,Existing,,,,, ,,Not Sure
633,,Existing,,,,, ,,Not Sure
634,,Existing,,,,, ,,Not Sure
635,,Existing,,,,, ,,Not Sure
636,,Existing,,,,, ,,Not Sure
637,,Existing,,,,, ,,Not Sure
638,,Existing,,,,, ,,Not Sure
639,,Existing,,,,, ,,Not Sure
640,,Existing,,,,, ,,Not Sure
641,,Existing,,,,, ,,Not Sure
642,,Existing,,,,, ,,Not Sure
643,,Existing,,,,, ,,Not Sure
644,,Existing,,,,, ,,Not Sure
645,,Existing,,,,, ,,Not Sure
653,,Existing,,,,, ,,Not Sure
654,,Existing,,,,, ,,Not Sure
655,,Existing,,,,, ,,Not Sure
656,,Existing,,,,, ,,Not Sure
657,,Existing,,,,, ,,Not Sure
1249,,Existing,,,,, ,,Not Sure
1279,,Existing,,,,, ,,Not Sure
658,,Existing,,,,, ,,Not Sure
659,,Existing,,,,, ,,Not Sure
660,,Existing,,,,, ,,Not Sure
661,,Existing,,,,, ,,Not Sure
662,,Existing,,,,, ,,Not Sure
663,,Existing,,,,, ,,Not Sure
664,,Existing,,,,, ,,Not Sure
1346,,Existing,,,,, ,,Not Sure
665,,Existing,,,,, ,,Not Sure
666,,Existing,,,,, ,,Not Sure
668,,Existing,,,,, ,,Not Sure
667,,Existing,,,,, ,,Not Sure
670,,Existing,,,,, ,,Not Sure
669,,Existing,,,,, ,,Not Sure
671,,Existing,,,,, ,,Not Sure
672,,Existing,,,,, ,,Not Sure
673,,Existing,,,,, ,,Not Sure
674,,Existing,,,,, ,,Not Sure
675,,Existing,,,,, ,,Not Sure
1232,,Existing,,,,, ,,Not Sure
651,,Existing,,,,, ,,Not Sure
1329,,Existing,,,,, ,,Not Sure
652,,Existing,,,,, ,,Not Sure
676,,Existing,,,,, ,,Not Sure
677,,Existing,,,,, ,,Not Sure
678,,Existing,,,,, ,,Not Sure
679,,Existing,,,,, ,,Not Sure
680,,Existing,,,,, ,,Not Sure
681,,Existing,,,,, ,,Not Sure
683,,Existing,,,,, ,,Not Sure
682,,Existing,,,,, ,,Not Sure
684,,Existing,,,,, ,,Not Sure
685,,Existing,,,,, ,,Not Sure
686,,Existing,,,,, ,,Not Sure
687,,Existing,,,,, ,,Not Sure
689,,Existing,,,,, ,,Not Sure
692,,Existing,,,,, ,,Not Sure
691,,Existing,,,,, ,,Not Sure
688,,Existing,,,,, ,,Not Sure
690,,Existing,,,,, ,,Not Sure
694,,Existing,,,,, ,,Not Sure
693,,Existing,,,,, ,,Not Sure
695,,Existing,,,,, ,,Not Sure
697,,Existing,,,,, ,,Not Sure
696,,Existing,,,,, ,,Not Sure
698,,Existing,,,,, ,,Not Sure
699,,Existing,,,,, ,,Not Sure
700,,Existing,,,,, ,,Not Sure
707,,Existing,,,,, ,,Not Sure
708,,Existing,,,,, ,,Not Sure
709,,Existing,,,,, ,,Not Sure
710,,Existing,,,,, ,,Not Sure
711,,Existing,,,,, ,,Not Sure
712,,Existing,,,,, ,,Not Sure
713,,Existing,,,,, ,,Not Sure
714,,Existing,,,,, ,,Not Sure
715,,Existing,,,,, ,,Not Sure
716,,Existing,,,,, ,,Not Sure
1285,,Existing,,,,, ,,Not Sure
717,,Existing,,,,, ,,Not Sure
718,,Existing,,,,, ,,Not Sure
719,,Existing,,,,, ,,Not Sure
720,,Existing,,,,, ,,Not Sure
721,,Existing,,,,, ,,Not Sure
722,,Existing,,,,, ,,Not Sure
723,,Existing,,,,, ,,Not Sure
701,,Existing,,,,, ,,Not Sure
724,,Existing,,,,, ,,Not Sure
725,,Existing,,,,, ,,Not Sure
703,,Existing,,,,, ,,Not Sure
702,,Existing,,,,, ,,Not Sure
704,,Existing,,,,, ,,Not Sure
705,,Existing,,,,, ,,Not Sure
706,,Existing,,,,, ,,Not Sure
1352,,Existing,,,,, ,,Not Sure
1261,,Existing,,,,, ,,Not Sure
726,,Existing,,,,, ,,Not Sure
727,,Existing,,,,, ,,Not Sure
728,,Existing,,,,, ,,Not Sure
729,,Existing,,,,, ,,Not Sure
730,,Existing,,,,, ,,Not Sure
731,,Existing,,,,, ,,Not Sure
732,,Existing,,,,, ,,Not Sure
733,,Existing,,,,, ,,Not Sure
734,,Existing,,,,, ,,Not Sure
735,,Existing,,,,, ,,Not Sure
736,,Existing,,,,, ,,Not Sure
1255,,Existing,,,,, ,,Not Sure
1319,,Existing,,,,, ,,Not Sure
737,,Existing,,,,, ,,Not Sure
738,,Existing,,,,, ,,Not Sure
739,,Existing,,,,, ,,Not Sure
740,,Existing,,,,, ,,Not Sure
741,,Existing,,,,, ,,Not Sure
742,,Existing,,,,, ,,Not Sure
743,,Existing,,,,, ,,Not Sure
744,,Existing,,,,, ,,Not Sure
745,,Existing,,,,, ,,Not Sure
746,,Existing,,,,, ,,Not Sure
1227,,Existing,,,,, ,,Not Sure
1367,,Existing,,,,, ,,Not Sure
747,,Existing,,,,, ,,Not Sure
748,,Existing,,,,, ,,Not Sure
749,,Existing,,,,, ,,Not Sure
750,,Existing,,,,, ,,Not Sure
771,,Existing,,,,, ,,Not Sure
772,,Existing,,,,, ,,Not Sure
773,,Existing,,,,, ,,Not Sure
774,,Existing,,,,, ,,Not Sure
751,,Existing,,,,, ,,Not Sure
753,,Existing,,,,, ,,Not Sure
775,,Existing,,,,, ,,Not Sure
1355,,Existing,,,,, ,,Not Sure
752,,Existing,,,,, ,,Not Sure
754,,Existing,,,,, ,,Not Sure
755,,Existing,,,,, ,,Not Sure
756,,Existing,,,,, ,,Not Sure
757,,Existing,,,,, ,,Not Sure
758,,Existing,,,,, ,,Not Sure
759,,Existing,,,,, ,,Not Sure
760,,Existing,,,,, ,,Not Sure
761,,Existing,,,,, ,,Not Sure
762,,Existing,,,,, ,,Not Sure
763,,Existing,,,,, ,,Not Sure
764,,Existing,,,,, ,,Not Sure
765,,Existing,,,,, ,,Not Sure
766,,Existing,,,,, ,,Not Sure
767,,Existing,,,,, ,,Not Sure
768,,Existing,,,,, ,,Not Sure
769,,Existing,,,,, ,,Not Sure
770,,Existing,,,,, ,,Not Sure
776,,Existing,,,,, ,,Not Sure
779,,Existing,,,,, ,,Not Sure
780,,Existing,,,,, ,,Not Sure
781,,Existing,,,,, ,,Not Sure
777,,Existing,,,,, ,,Not Sure
778,,Existing,,,,, ,,Not Sure
782,,Existing,,,,, ,,Not Sure
783,,Existing,,,,, ,,Not Sure
784,,Existing,,,,, ,,Not Sure
785,,Existing,,,,, ,,Not Sure
786,,Existing,,,,, ,,Not Sure
787,,Existing,,,,, ,,Not Sure
788,,Existing,,,,, ,,Not Sure
789,,Existing,,,,, ,,Not Sure
791,,Existing,,,,, ,,Not Sure
790,,Existing,,,,, ,,Not Sure
792,,Existing,,,,, ,,Not Sure
793,,Existing,,,,, ,,Not Sure
794,,Existing,,,,, ,,Not Sure
795,,Existing,,,,, ,,Not Sure
797,,Existing,,,,, ,,Not Sure
796,,Existing,,,,, ,,Not Sure
798,,Existing,,,,, ,,Not Sure
799,,Existing,,,,, ,,Not Sure
800,,Existing,,,,, ,,Not Sure
822,,Existing,,,,, ,,Not Sure
823,,Existing,,,,, ,,Not Sure
824,,Existing,,,,, ,,Not Sure
825,,Existing,,,,, ,,Not Sure
1243,,Existing,,,,, ,,Not Sure
801,,Existing,,,,, ,,Not Sure
802,,Existing,,,,, ,,Not Sure
1256,,Existing,,,,, ,,Not Sure
803,,Existing,,,,, ,,Not Sure
804,,Existing,,,,, ,,Not Sure
805,,Existing,,,,, ,,Not Sure
806,,Existing,,,,, ,,Not Sure
807,,Existing,,,,, ,,Not Sure
808,,Existing,,,,, ,,Not Sure
809,,Existing,,,,, ,,Not Sure
811,,Existing,,,,, ,,Not Sure
814,,Existing,,,,, ,,Not Sure
813,,Existing,,,,, ,,Not Sure
816,,Existing,,,,, ,,Not Sure
1332,,Existing,,,,, ,,Not Sure
810,,Existing,,,,, ,,Not Sure
1272,,Existing,,,,, ,,Not Sure
1290,,Existing,,,,, ,,Not Sure
1324,,Existing,,,,, ,,Not Sure
815,,Existing,,,,, ,,Not Sure
817,,Existing,,,,, ,,Not Sure
812,,Existing,,,,, ,,Not Sure
818,,Existing,,,,, ,,Not Sure
819,,Existing,,,,, ,,Not Sure
820,,Existing,,,,, ,,Not Sure
821,,Existing,,,,, ,,Not Sure
835,,Existing,,,,, ,,Not Sure
836,,Existing,,,,, ,,Not Sure
837,,Existing,,,,, ,,Not Sure
838,,Existing,,,,, ,,Not Sure
839,,Existing,,,,, ,,Not Sure
840,,Existing,,,,, ,,Not Sure
1335,,Existing,,,,, ,,Not Sure
841,,Existing,,,,, ,,Not Sure
842,,Existing,,,,, ,,Not Sure
843,,Existing,,,,, ,,Not Sure
844,,Existing,,,,, ,,Not Sure
845,,Existing,,,,, ,,Not Sure
846,,Existing,,,,, ,,Not Sure
847,,Existing,,,,, ,,Not Sure
849,,Existing,,,,, ,,Not Sure
848,,Existing,,,,, ,,Not Sure
826,,Existing,,,,, ,,Not Sure
827,,Existing,,,,, ,,Not Sure
828,,Existing,,,,, ,,Not Sure
850,,Existing,,,,, ,,Not Sure
830,,Existing,,,,, ,,Not Sure
829,,Existing,,,,, ,,Not Sure
831,,Existing,,,,, ,,Not Sure
832,,Existing,,,,, ,,Not Sure
833,,Existing,,,,, ,,Not Sure
853,,Existing,,,,, ,,Not Sure
834,,Existing,,,,, ,,Not Sure
851,,Existing,,,,, ,,Not Sure
855,,Existing,,,,, ,,Not Sure
852,,Existing,,,,, ,,Not Sure
854,,Existing,,,,, ,,Not Sure
856,,Existing,,,,, ,,Not Sure
857,,Existing,,,,, ,,Not Sure
858,,Existing,,,,, ,,Not Sure
1282,,Existing,,,,, ,,Not Sure
859,,Existing,,,,, ,,Not Sure
860,,Existing,,,,, ,,Not Sure
861,,Existing,,,,, ,,Not Sure
862,,Existing,,,,, ,,Not Sure
863,,Existing,,,,, ,,Not Sure
864,,Existing,,,,, ,,Not Sure
866,,Existing,,,,, ,,Not Sure
865,,Existing,,,,, ,,Not Sure
867,,Existing,,,,, ,,Not Sure
868,,Existing,,,,, ,,Not Sure
869,,Existing,,,,, ,,Not Sure
870,,Existing,,,,, ,,Not Sure
871,,Existing,,,,, ,,Not Sure
872,,Existing,,,,, ,,Not Sure
873,,Existing,,,,, ,,Not Sure
1231,,Existing,,,,, ,,Not Sure
1240,,Existing,,,,, ,,Not Sure
1271,,Existing,,,,, ,,Not Sure
874,,Existing,,,,, ,,Not Sure
875,,Existing,,,,, ,,Not Sure
1327,,Existing,,,,, ,,Not Sure
899,,Existing,,,,, ,,Not Sure
878,,Existing,,,,, ,,Not Sure
898,,Existing,,,,, ,,Not Sure
900,,Existing,,,,, ,,Not Sure
879,,Existing,,,,, ,,Not Sure
880,,Existing,,,,, ,,Not Sure
876,,Existing,,,,, ,,Not Sure
877,,Existing,,,,, ,,Not Sure
882,,Existing,,,,, ,,Not Sure
883,,Existing,,,,, ,,Not Sure
886,,Existing,,,,, ,,Not Sure
881,,Existing,,,,, ,,Not Sure
1246,,Existing,,,,, ,,Not Sure
1318,,Existing,,,,, ,,Not Sure
885,,Existing,,,,, ,,Not Sure
884,,Existing,,,,, ,,Not Sure
887,,Existing,,,,, ,,Not Sure
889,,Existing,,,,, ,,Not Sure
888,,Existing,,,,, ,,Not Sure
894,,Existing,,,,, ,,Not Sure
890,,Existing,,,,, ,,Not Sure
891,,Existing,,,,, ,,Not Sure
892,,Existing,,,,, ,,Not Sure
893,,Existing,,,,, ,,Not Sure
895,,Existing,,,,, ,,Not Sure
896,,Existing,,,,, ,,Not Sure
897,,Existing,,,,, ,,Not Sure
905,,Existing,,,,, ,,Not Sure
901,,Existing,,,,, ,,Not Sure
904,,Existing,,,,, ,,Not Sure
902,,Existing,,,,, ,,Not Sure
908,,Existing,,,,, ,,Not Sure
911,,Existing,,,,, ,,Not Sure
903,,Existing,,,,, ,,Not Sure
