Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
55,A51,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,Not Sure
79,A51,Existing,No response,,3,,Reception,Not Sure,Not Sure
80,A52,Existing,Not Interested,,2,Cold,Direct Line,Important,Not Sure
76,A53,Existing,No response,,1,,Not Sure,,Not Sure
77,A53,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
78,A54,Existing,No response,,1,,Invalid,Not Sure,Not Sure
81,A55,Existing,Not Interested,,1,,Direct Line,Important,Yes
83,A55,Existing,No response,,1,,Not Sure,,Not Sure
82,A56,Existing,Wrong POC,,1,,Reception,Not Sure,Not Sure
,A56,New,Wrong POC,,3,,Reception,Not Important,Yes
,A56,New,Wrong POC,Phone,2,,Direct Line,Not Important,Not Sure
84,A57,Existing,No response,,3,,Direct Line,Important,Not Sure
85,A57,Existing,Wrong POC,,3,,Direct Line,Not Sure,Not Sure
87,A57,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
89,A57,Existing,Wrong POC,,3,,Reception,Not Sure,No
86,A58,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
88,A58,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
91,A59,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
90,A60,Existing,No response,,3,,Reception,Important,Not Sure
92,A61,Existing,No response,,3,,Reception,Not Sure,Not Sure
93,A62,Existing,No response,,3,,Reception,Important,Not Sure
94,A63,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
95,A63,Existing,Wrong POC,,1,,Invalid,Not Important,Not Sure
96,A63,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
97,A63,Existing,Wrong POC,,,,Repeat Number,Not Important,Not Sure
98,A63,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
99,A63,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
100,A63,Existing,Wrong POC,,1,,Repeat Number,Not Important,Not Sure
,A63,New,No response,,3,,Direct Line,Not Sure,Not Sure
107,A63,Existing,Open,,,,,,Not Sure
108,A63,Existing,Open,,,, ,,Not Sure
111,A63,Existing,No response,,1,,Direct Line,Important,Not Sure
113,A63,Existing,Wrong POC,,,,Direct Line,Not Important,Not Sure
1336,A64,Existing,No response,,1,,Invalid,Not Sure,Not Sure
,A56,New,Not Interested,,4,,Direct Line,Important,Not Sure
109,A65,Existing,Not Interested,,4,,Direct Line,Not Sure,Not Sure
116,A65,Existing,Wrong POC,,1,,Direct Line,Not Sure,Not Sure
106,A66,Existing,No response,,3,,Reception,Important,Not Sure
110,A67,Existing,No response,,3,,Direct Line,Important,Not Sure
112,A67,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
1360,A67,Existing,No response,,3,,Reception,Not Sure,Not Sure
114,A68,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A68,New,No response,,3,,Reception,Not Important,Not Sure
115,A69,Existing,,,,, ,,Not Sure
117,A70,Existing,,,,, ,,No
118,A71,Existing,,,,, ,,Not Sure
119,A72,Existing,,,,, ,,Yes
120,A72,Existing,,,,, ,,No
121,A73,Existing,,,,, ,,Not Sure
122,A74,Existing,,,,, ,,No
123,A74,Existing,,,,, ,,No
124,A74,Existing,,,,, ,,Not Sure
102,A75,Existing,No response,,3,,Invalid,Not Sure,Not Sure
125,A75,Existing,No response,,3,,Reception,Not Sure,Not Sure
101,A76,Existing,No response,,3,,Reception,Not Important,Not Sure
103,A77,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
,A77,New,No response,,3,,Reception,Not Sure,Not Sure
104,A78,Existing,No response,,3,,Reception,Not Sure,Not Sure
105,A79,Existing,No response,,1,,Direct Line,Important,Not Sure
126,A79,Existing,Wrong POC,VM/Email,1,,Reception,Not Sure,Not Sure
127,A79,Existing,Not Interested,,1,,Direct Line,Not Important,Not Sure
128,A79,Existing,Wrong POC,VM/Email,1,,Reception,Not Sure,Not Sure
129,A79,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,A79,New,No response,,3,,Reception,Not Sure,Not Sure
130,A79,New,No response,,4,,Direct Line,Not Important,Not Sure
133,A80,Existing,,,,, ,,Not Sure
134,A81,Existing,Not Interested,,1,,Not Sure,Not Sure,Yes
131,A82,Existing,,,1,,Invalid,Not Important,No
,A82,New,Not Interested,,1,,Reception,Not Important,Not Sure
132,A82,Existing,Not Interested,,1,,Reception,Not Important,Not Sure
,A82,,,,,,,,
135,A83,Existing,Not Interested,,4,,Reception,Important,Not Sure
136,A84,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
137,A84,Existing,,,,, ,,Not Sure
138,A84,Existing,,,,, ,,Not Sure
139,A85,Existing,,,,, ,,Not Sure
140,A86,Existing,,,,, ,,Not Sure
141,A86,Existing,,,,, ,,Not Sure
142,A87,Existing,No response,,1,,Reception,Not Sure,Not Sure
143,A87,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
144,A88,Existing,,,,, ,,Not Sure
145,A88,Existing,,,,, ,,Not Sure
,A88,New,No response,,2,,Invalid,Not Important,Not Sure
146,A89,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
147,A89,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
148,A89,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
