Week,Completed,Does Not remember,Follow-up,No response,Open,Partially Completed,Wrong Person,Grand Total,Total # of Calls
1,6,0,29,0,2001,1,0,2037,39
2,13,2,62,12,1944,3,1,2037,122
3,23,4,37,38,1930,3,1,2037,172
4,42,4,55,45,1876,11,3,2037,252
5,55,4,42,67,1853,13,3,2037,319
6,65,4,59,86,1803,19,6,2037,401
7,80,4,66,119,1747,26,7,2037,496
8,82,4,72,119,1739,32,7,2037,504
9,92,4,53,144,1721,35,8,2037,551
10,100,3,39,140,1706,39,10,2037,588
