Week,Completed,Does Not remember,Follow-up,No response,Open,Partially Completed,Wrong Person,Grand Total,Total # of Calls
1,12,0,58,0,4002,2,0,4074,78
2,26,4,124,24,3888,6,2,4074,244
3,46,8,74,76,3860,6,2,4074,344
4,84,8,110,90,3752,22,6,4074,504
5,110,8,84,134,3706,26,6,4074,638
6,130,8,118,172,3606,38,12,4074,802
7,160,8,132,238,3494,52,14,4074,992
8,164,8,144,238,3478,64,14,4074,1008
9,184,8,106,288,3442,70,16,4074,1102
10,200,6,78,280,3412,78,20,4074,1176
